==========================================================================================
hold 100%  FLAGS: []
sig                   min          max          end    revs
LI_501            49.9000      50.0000      50.0000       0
LV_501            27.4000      33.3000      27.4000       0
HPCC_L            93.1000     100.0000      93.1000       1
HPCC_T           146.1000     146.9000     146.1000       0
EJ_suct        26659.5000   26684.1000   26684.1000       0
SCR_L             50.0000      50.0000      50.0000       0
urea_bot          78.5100      95.3200      78.5100       0
pumpB             63.5000      63.5000      63.5000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2132      46.2145      46.2145       0
T328008_op      1680.2193    1687.2984    1687.2987       0
F328404_op        30.2935      30.4209      30.4209       0
F328404_pv         1.5344       1.5409       1.5409       0
F328404_sp         1.5344       1.5409       1.5409       0
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       138360.2916  138807.3988  138360.2778       0
CompI_T           55.9468      55.9777      55.9468       0
D001_P             2.5997       2.5998       2.5997       0
==========================================================================================
ramp->30%  FLAGS: ['CARBAMATE_CRYST_ALARM', 'CARBAMATE_CRYST_WARN']
sig                   min          max          end    revs
Load              30.0000      50.0000      30.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0500       2.0230       1
X                 52.6600      53.2800      52.8600       7
T_react          146.6000     150.5000     146.6000       0
L_react            0.0000       0.0000       0.0000       0
eta_T              0.9767       0.9955       0.9931       5
T_bot            205.4000     206.5000     205.4000       0
LI_501            49.8000      50.0000      49.9000       8
LV_501            23.4000      27.4000      23.4000       4
HPCC_L            92.7000     100.0000     100.0000       1
HPCC_T           138.1000     146.1000     138.1000       0
EJ_suct         7602.8000   26684.1000    8894.7000       1
SCR_L             49.7000      76.8000      76.8000       1
urea_bot          66.9600      78.5100      66.9600       6
pumpB             38.1000      63.5000      38.1000       0
FFIC_pv            0.2068       0.2068       0.2068       0
FFIC_op         6495.0000    6495.0000    6495.0000       0
F329401_op        50.0000      50.0000      50.0000       0
F329401_pv      6495.0000    6495.0000    6495.0000       0
T328008_pv        46.2145      46.2152      46.2152       0
T328008_op      1687.2989    1691.4725    1691.4727       0
F328404_op        30.4209      30.4960      30.4960       0
F328404_pv         1.5409       1.5447       1.5447       0
F328404_sp         1.5409       1.5447       1.5447       0
F328402_op        50.0000      50.0000      50.0000       0
F323402_op        50.0000      50.0000      50.0000       0
CompI_M       138093.3881  138360.2640  138093.3721       0
CompI_T           55.9284      55.9468      55.9284       0
D001_P             2.5996       2.5997       2.5996       0
==========================================================================================
hold 30%  FLAGS: ['CARBAMATE_CRYST_ALARM', 'CARBAMATE_CRYST_WARN']
sig                   min          max          end    revs
Load              30.0000      30.0000      30.0000       0
P_syn            144.9000     144.9000     144.9000       0
NC                 2.0230       2.0230       2.0230       0
X                 52.8600      52.9400      52.9400       0
T_react          137.4000     146.6000     137.4000       0
